Unique Poem#	Juan.Seq#	Poem Name	Poet's Name	Poet Intro	Poem Refs	Poem Commentary	Poem Content
Lu1983.011	1.11	【秋風辭】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉		〖漢武帝故事曰：上行幸河東。祠後土。顧視帝京。欣然中流。與群臣飲燕。上歡甚。乃自作秋風辭曰：〗	秋風起兮白雲飛。草木黃落兮雁南歸。蘭有秀兮菊有芳。懷佳人兮不能忘。泛樓船兮濟汾河。橫中流兮揚素波。簫鼓鳴兮發棹歌。歡樂極兮哀情多。少庄幾時兮奈老何。（○《文選》四十五。《御覽》五百七十、五百九十一併引《漢書》。《樂府詩集》八十四引漢武帝故事。合璧事類外集五十八引正本《漢書》本紀。《詩紀》一。又《書鈔》百六引漢武故事。錄河、波、歌、多四韻。《後漢書》馬融傳注引歌一韻。《文選》十三雪賦注引忘一韻。又十六別賦注引歌一韻。《御覽》九引飛、歸、河、波四韻。又七百六十八作武帝汾歌。引河、波二韻。○逯案。此辭《御覽》數引皆曰《漢書》。合璧事類且謂出正本《漢書》。殊怪。事類謂案正本《漢書》本紀。天漢元年三月。上行幸河東。祀後土云云。秋風而曰三月。顯有誤字。考《漢書》。帝幸汾陰凡六次。然皆不在秋。惟郊祀志稱。夏六月中。汾陰巫錦為民祠魏睢後土營旁。見地如釒句狀。掊視得鼎。吏告河東太守勝。勝以聞之。乃以禮祀迎鼎至甘泉。從行上薦之云云。據武紀。事在元鼎四年。得鼎既在六月中。並經遣使驗問。則帝之河東當值秋時。秋風辭其即此行之作乎。）
Lu1983.012	1.12	【天馬歌】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉		〖《漢書》武帝紀。元鼎四年六月。得寶鼎後土祠旁。秋。馬生渥窪水中。作寶鼎天馬之歌。《史記》曰：嘗得神馬渥窪水中。複次以為太一之歌。歌曲曰：〗	太一貢兮天馬下。沾赤汗兮沫流赭。騁容與兮跇萬里。今安匹兮龍為友。（○《史記》樂書。《詩紀》一。又韻補三引里、友二韻。○逯案。此與郊祀天馬歌文字稍異。故別入武帝集。）
Lu1983.013	1.13	【西極天馬歌】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉	〖廣《文選》作蒲梢天馬歌。《詩紀》同。〗	〖《漢書》武帝紀曰：太初四年。斬大宛王首。獲汗血馬來。作西極天馬之歌。《史記》曰：後代大宛得千里馬。馬名蒲梢。次作以為歌。歌《詩》曰：〗	天馬徠從西極。經萬里兮歸有德。承靈威兮降外國。涉流沙兮四夷服。（○《史記》樂書。《白帖》十六。廣《文選》十四。《詩紀》一。○逯案。此與郊祀天馬歌文字稍異。故別入武帝集。）
Lu1983.014	1.14	【李夫人歌】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉		〖《漢書》曰：夫人早卒。帝思念不已。方士齊人少翁言能致其神。乃夜張燈燭。設帷帳。陳酒肉。而令帝居帷帳。遙望見好女如李夫人之貌。還幄坐而步。又不得就視。帝愈益相思悲感。為作詩。令樂府諸家弦歌之。〗	是邪非邪。立而望之。偏何姍姍其來遲。（《搜神記》作偏娜娜何冉冉其來遲。《類聚》同。○《漢書》外戚傳。《搜神記》二。《類聚》四十三。《文選》五十八哀永逝文注。《御覽》百四十四。《樂府詩集》八十四。《詩紀》一。○集氏筆乘雲。武帝李夫人歌。是邪非邪。立而望之。翩何姍姍其來遲。之與遲一韻。許顗詩話雲。立而望之偏。是退之走馬看來立不正之所祖也。以偏字屬上。不惟與韻不葉。立而望之偏。是何語邪。○逯案。焦說是也。又《類聚》此歌引《漢書》。與今本《漢書》絕異。與《搜神記》則同。未悉所據為何本也。）
Lu1983.015	1.15	【思奉車子侯歌】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉	〖《詩紀》作思車子侯歌。原在外集。今編入武帝集。〗	〖洞仙傳曰：車子侯者。扶風人。漢武帝愛其清凈。稍遷其位至侍中。一朝語家雲。我今補仙官。此春應去。至夏中當暫還。還少時復去。如其言。武帝思之。乃作歌曰云云。○逯案。《漢書》霍去病傳。去病薨。子嬗嗣。嬗字子侯。上愛之。幸其壯而將之。為奉車都尉。從封泰山而薨。子侯之薨。又見郊祀志。《類聚》五十六引武帝集曰：奉車子侯暴病。一日死。上甚悼之。乃自為歌詩。《初學記》十八引漢武帝與秦車子侯家詔曰：春。時子侯于北館。與家別。又文心雕龍哀弔篇曰：暨武帝封禪。而霍子侯暴亡。帝傷而作詩。亦哀辭之類也。及漢汝陽王亡。崔瑗哀辭始變前式。又卒章五言。頗似歌謠。亦仿佛乎漢武也。洞仙傳作車子侯。《初學記》作秦車子侯。則文字有脫誤也。〗	嘉幽蘭兮延秀。蕈妖淫兮中溏。華斐斐兮麗景。風徘徊兮流芳。皇天兮無慧。至人逝兮仙鄉。天路遠兮無期。不覺涕下兮沾裳。（○《雲笈七籤》百十洞仙傳。《詩紀外集》一。又《書鈔》十九引《漢書》錄起首一句。）
Lu1983.016	1.16	【柏梁詩】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉		〖東方朔別傳日。孝武元封三年。作柏梁台。詔群臣二千石有能為七言者。乃得上坐。〗	日月星辰和四時。驂駕駟馬從梁來。郡國士馬羽林材。總領天下誠難治。和撫四夷不易哉。刀筆之吏臣執之。撞鐘伐鼓聲中詩。宗室廣大日益滋。周衛交戟禁不時。總領從官柏梁台。平理請讞決嫌疑。修飾輿馬待駕來。郡國吏功差次之。乘輿御物主治之。陳粟萬石揚以箕。徼道宮下隨討治。三輔盜賊天下危。盜阻南山為民災。外家公主不可治。椒房率更領其材。蠻夷朝賀常會期，柱枅欂櫨相枝持。枇杷橘栗桃李梅。走狗逐兔張罘罳。齒妃女唇甘如飴。迫窘詰屈幾窮哉。（東方朔○《類聚》五十六。古文苑四。《詩紀》一。又書少五十引大將軍鎮撫四夷者也一句、五十三引台一韻、五十四引來一韻持一韻。匡謬正俗七引時、來、怠三韻。《初學記》十二引來一韻。《御覽》三百五十二引東方朔傳引時一韻、九百六十六引梅一韻、九百七十引梅一韻。○逯案。《詩紀》從章樵本古文苑。各官下附以人名。今據韓本刪之。顧炎武日知錄據史漢紀傳年表。辨此詩年代官人皆相牴牾。因定為後世依托。然考《漢書》武帝紀。于建元六年即出大司農一官名。與此牴牾相同。吾人如信班書。不得獨疑此詩。且此詩出東方朔別傳。此別傳即班書朔傳所本也。）
Lu1983.017	1.17	【歌】	枚乘	〈乘。字叔。淮陰人。為吳王濞郎中。去之梁。景帝平七國。召拜弘農都尉。以疾去官。復游梁。后歸淮陰。武帝即位。征入都。道卒。有集二卷。〉	〖乘作七發。系此歌。〗		麥秀蔪兮雉朝飛。向虛壑兮背枯槐。依絕區兮臨回溪。（○《文選》三十四。《書鈔》一百六。）
Lu1983.018	1.18	【八公操】	淮南王劉安	〈安。淮南王長之子。高帝之孫。孝文八年。封阜陵侯。十六年。封淮南王。孝武元朔五年。削地五縣。元狩元年。謀反自殺。有集二卷。〉	〖一曰淮南操。〗	〖古今樂錄曰：淮南好道。正月上辛。八公來降。王作此歌。〗	煌煌上天照下土兮。知我好道公來下兮。公將與予生毛羽兮。超騰青雲蹈梁甫兮。觀見瑤光過北斗兮。馳乘風雲使玉女兮。含精吐氣嚼芝草兮。悠悠將將天相保兮。（○《樂府詩集》五十八。廣《文選》十四。《詩紀》一。又《搜神記》一作淮南操。引海、下、羽、甫、斗、女六韻。《御覽》五百七十三引海、下、羽、甫、斗、女六韻。○逯案。《論衡》道虛篇雲。八公之傳。欲示神奇。此操蓋出八公傳。干寶搜神即據之也。）
Lu1983.019	1.19	【歌】	司馬相如	〈相如。字長卿。蜀郡成都人。以貲為郎。事景帝為武騎常侍。病免。客游梁。后歸蜀。武帝召復為郎。拜中郎將。坐事免。尋拜孝文園令。病免。元狩五年卒。有集二卷。〉	〖相如美人賦。系此歌。〗		獨處室兮廓無依。思佳人兮情傷悲。彼君子兮來何遲。日既墓兮華色衰。敢托身兮長自私。（《書鈔》作以自知。○《書鈔》一百六。《類聚》十八。《初學記》十九。《御覽》五百七十三。）
Lu1983.020	1.20	【琴歌二首】	司馬相如	〈相如。字長卿。蜀郡成都人。以貲為郎。事景帝為武騎常侍。病免。客游梁。后歸蜀。武帝召復為郎。拜中郎將。坐事免。尋拜孝文園令。病免。元狩五年卒。有集二卷。〉		〖玉台新詠有序曰：司馬相如游臨邛。富人卓王孫有女文君新寡。竊于壁間窺之。相如鼓琴歌挑之曰：〗	鳳兮鳳兮歸故鄉。遨遊四海求其皇。時未通遇無所將。何悟今夕升斯堂。有艷淑女在此方。室邇人遐毒我腸。何緣交頸為鴛鴦。（樂府此下有胡頡頑兮共翱翔一句。《詩紀》同。○玉台新詠九。《書鈔》一百六。《御覽》五百七十三。《樂府詩集》六十。黃氏集千家注杜工部詩補遺一琴台詩注。《詩紀》二。又《類聚》四十三引鄉、皇、房、鴦四韻。黃氏集千家注杜工部詩六客居詩注引鄉、皇二韻。）XX皇兮皇兮從我棲。得托字尾永為妃。交情通體心和諧。中夜相從知者誰。雙興俱起翻高飛。無感我心使余悲。（○玉台新詠九。《樂府詩集》六十。黃氏集千家注杜工部詩補遺一琴台詩注。《詩紀》二。又《類聚》四十三引棲、妃、諧、誰四韻。錦繡萬花谷十八引棲、妃二韻。○逯案。此歌殆兩漢時琴工假托為之。姑附此俟考。）
Lu1983.021	1.21	【歌】	東方朔	〈朔。字曼倩。平原厭次人。武帝初。年二十二。待詔公車。尋待詔金馬門。為常侍郎。拜大中大夫。給事中。被劾。免為庶人。待詔宦者署。復為中郎。有集二卷。〉		〖《史記》曰：朔行殿中。郎謂之曰：人皆以先生為狂。朔曰：如朔等所謂避世于朝廷間者也。古之人乃避世于深山中。時坐席中。酒酣。據地歌曰：〗	陸沉于俗。避世金馬門。宮殿中可以避世全身。何必深山之中蒿廬之下。（○《史記》滑稽列傳。《書鈔》一百六。○逯案。此歌門、身、下三字不韻。在漢殊為罕例。北《齊書》四十五樊遜傳雲。遜常服東方朔之言。陸沉世俗。避世金馬。何必深山蒿廬之下云云。似以馬、下為韻。今本殆衍門字。）
Lu1983.022	1.22	【嗟伯夷】	東方朔	〈朔。字曼倩。平原厭次人。武帝初。年二十二。待詔公車。尋待詔金馬門。為常侍郎。拜大中大夫。給事中。被劾。免為庶人。待詔宦者署。復為中郎。有集二卷。〉			窮隱處兮窟穴自藏。與其隨佞而得志兮。不若從孤竹于首陽。（○《書鈔》百五十八。唐類函十四。）
Lu1983.023	1.23	【七言】	東方朔	〈朔。字曼倩。平原厭次人。武帝初。年二十二。待詔公車。尋待詔金馬門。為常侍郎。拜大中大夫。給事中。被劾。免為庶人。待詔宦者署。復為中郎。有集二卷。〉			折羽翼兮摩蒼天。（○《文選》二十二芙蓉池作注）
Lu1983.024	1.24	【六言】	東方朔	〈朔。字曼倩。平原厭次人。武帝初。年二十二。待詔公車。尋待詔金馬門。為常侍郎。拜大中大夫。給事中。被劾。免為庶人。待詔宦者署。復為中郎。有集二卷。〉			合樽促席相娛。（○《文選》四蜀都賦注。）XX計策棄捐不收。（○《文選》二十一詠史詩注。）
Lu1983.025	1.25	【歌】	李延年	〈延年。中山人。故倡也。坐法腐刑。給事狗監中。善歌為變新聲。所造詩謂之新聲曲。女弟李夫人得幸于武帝。延年由是貴。為協律都尉。征和三年卒。〉		〖《漢書》曰：李延年性知音。善歌舞。武帝愛之。延年侍上。起舞。歌曰云云。上嘆息曰：世豈有此人乎。平陽主因言延年有女弟。上召見之。實妙麗善舞。由是得幸。〗	北方有佳人。絕世而獨立。一顧傾人城。再顧傾人國。寧不知傾城與傾國。佳人難再得。（○《漢書》外戚傳。玉台新詠一。《類聚》十八、四十三。《初學記》十、十九。《白帖》七。《文選》二十一秋胡詩注。古籍叢殘石室本《文選》西京賦注。《御覽》百三十六、百四十四、三百八十、三百八十一、五百十七、五百七十四。事類賦舞賦。草堂詩箋十六佳人詩注。《文選》補遺三十五作佳人歌。《詩紀》二。○劉子卷三辨樂篇。袁注云。延年者。李延年也。姿顏色艷。武帝嬖之。任為協律都尉。帝令造新聲。延年于坐起舞而歌曰：南國有佳人。美者顏如玉。一顧傾人城。再顧傾人國。不惜傾城國。佳人不再得。武帝寵之。問左右曰：天下更有美人乎。對曰：延年有一妹。極端正。姿容絕代。帝即詔之。美貌無匹。遂納為夫人。時人語曰：一雌復一雄。雙飛入紫宮。○逯案。袁注殆憑記憶。未嘗一檢《漢書》。又一雌復一雄。本苻堅時諺。所以刺慕容氏者。袁氏亦竟誤歸延年。馮氏《詩紀》、楊氏古詩存目皆沿其誤。）
Lu1983.026	1.26	【醉歌】	商丘成	〈成。武帝征和二年。為大鴻臚。戾太子兵變。以獲反將張光功。封秺侯。〉		〖《漢書》曰：延和二年七月。癸巳封。四年。后二年。坐為詹事侍祠孝文廟。醉歌堂下曰云云。大不敬。自殺。〗	出居安能鬱郁。（○《漢書》景武昭宣元成功臣表。）
Lu1983.027	2.1	【諷諫詩】	韋孟	〈孟。魯國鄒人。家本彭城。景帝時。為楚元王傅。〉		〖《漢書》曰：孟為元王傅。傅子夷王及孫王戊。戊荒淫不遵道。作詩諷諫曰：〗	肅肅我祖。國自豕韋。黼衣朱紱。四牡龍旗。彤弓斯征。撫寧遐荒。總齊群邦。以翼大商。迭彼大彭。勛績惟光。至於有周。歷世會同。王赧聽譖。寔絕我邦。我邦既絕。厥政斯逸。賞罰之行。非繇王室。庶尹群后。靡扶靡衛。五服崩離。宗周以隊。我祖斯微。遷於彭城。在予小子。勤誒厥生。阸此嫚秦。耒耜以耕。悠悠嫚秦。上天不寧。迺眷南顧。授漢于京。于赫有漢。四方是征。靡適不懷。萬國逌平。迺命厥弟。建侯于楚。俾我小臣。惟傅是輔。競競元王。恭儉凈壹。惠此黎民。納彼輔弼。饗國漸世。垂烈於後。迺及夷王。XX克奉厥緒。咨命不永。惟王統祀。左右陪臣。此惟皇士。如何我王。不思守保。不惟履冰。以繼祖考。邦事是廢。逸游是娛。犬馬繇繇。是放是驅。務彼鳥獸。忽此稼苗。烝民以匱。我王以偷。所弘非德。所親非俊。唯囿是恢。唯諛是信。睮睮諂夫。咢咢黃發。如何我王。曾不是察。既藐下臣。追欲從逸。嫚彼顯祖。輕茲削黜。嗟嗟我王。漢之睦親。曾不夙夜。以休令聞。穆穆天子。臨爾下土。明明群司。執憲靡顧。正遐繇近。殆其怙茲。嗟嗟我王。曷不此思。非思非鑒。嗣其罔則。瀰瀰其失。岌岌其國。致冰匪霜。致隊靡嫚。瞻惟我王。昔靡不練。興國救顛。孰違悔過。追思黃發。秦繆以霸。歲月其徂。年其逮耇。于昔君子。庶顯於後。我王如何。曾不斯覽。黃發不近。胡不時監。（《文選》作鑒。《詩紀》同。○《漢書》韋賢傳。《文選》十九。《詩紀》二。又《類聚》二十四引韋、旗、荒、商、光、同、邦、寧、京、楚、輔、壹、弼、緒、祀、保、考、娛、驅、俊、信、親、聞二十三韻。《初學記》十八作諷楚元王四言詩。引娛、驅、俊、信、親、聞六韻。《御覽》六百九十引韋、旗二韻。韻補一引同、邦二韻。二引苗、偷二韻。○逯案。昔靡不練。《文選》作時靡不練。《漢書》補註引王文彬雲。作時是也。時古作時。與昔形近而誤。又于昔君子。《文選》昔作赫。王念孫讀書雜誌雲。韋孟諷諫詩。于赫君子。庶顯於後。李善曰：歡美昔之君子。能庶幾自悔。故光顯於後。念孫案。如此注。李善本本作于昔君子。《漢書》韋賢傳亦作昔。李周翰注曰：于赫。美也。言何不美君子之道。庶光明於後代。則五臣本已作于赫君子。昔字俗書作昔。赫字俗書作赫。二形相近。故昔訛赫。于赫美也。古亦無此訓。）
Lu1983.028	2.2	【在鄒詩】	韋孟	〈孟。魯國鄒人。家本彭城。景帝時。為楚元王傅。〉		〖《漢書》曰：楚王戊荒淫不遵道。孟作詩諷諫。后遂去位。徙家于鄒。又作一篇。在鄒《詩》曰：〗	微微小子。既耇且陋。豈不牽位。穢我王朝。王朝肅清。惟俊之庭。顧瞻余躬。懼穢此征。我之退征。請于天子。天子我恤。矜我發齒。赫赫天子。明悊且仁。縣車之義。以洎小臣。嗟我小子。豈不懷土。庶我王寤。越遷於魯。既去禰祖。惟懷惟顧。祈祈我徒。戴負盈路。爰戾于鄒。{髟前}茅作堂。我徒我環。築室於牆。我既遷逝。心存我舊。夢我瀆上。立於王朝。其夢如何。夢爭王室。其爭如何。夢王我弼。寤其外邦。歡其喟然。念我祖考。泣涕其漣。微微老夫。咨既遷絕。洋洋仲尼。視我遺烈。濟濟鄒魯。禮義唯恭。誦習弦歌。于異他邦。我雖鄙耇。心其好而。我徒侃爾。樂亦在而。（○《漢書》韋賢傳。廣《文選》九。《詩紀》二。又《文選》十六間居賦注作安革猛詩。引祁祁我徒一句。）
